piCalculator.cpp,, This program approximates pi to 5 (or more!) decimal points.,,2016-10-20,,(https://www.github.com/lbeckman314/codeVault/blob/master/piCalculator.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/piCalculator.cpp)
secondsToHourMinSec.cpp,,This program converts number of seconds to digital houtput hrminsec.,,2016-09-06,,(https://www.github.com/lbeckman314/codeVault/blob/master/secondsToHourMinSec.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/secondsToHourMinSec.cpp)
secondsToHourMinSecPlus.cpp,, This program converts number of seconds to digital output hrminsec.,,2016-10-01,,(https://www.github.com/lbeckman314/codeVault/blob/master/secondsToHourMinSecPlus.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/secondsToHourMinSecPlus.cpp)
simpleHoroscope.cpp,,This programs takes user input and outputs a projected horoscope.,,2016-09-06,,,,(https://www.github.com/lbeckman314/codeVault/blob/master/simpleMenuPlusPlus.bash) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/simpleMenuPlusPlus.bash)
simpleMenuPlusPlus.bash,, This program provides a (new and sexier!) menu interface for common NIX activities,,2016-11-26,,(https://www.github.com/lbeckman314/codeVault/blob/master/simpleMenuPlus.sh) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/simpleMenuPlus.sh)
simpleMenuPlus.sh,, This program provides a menu interface for common NIX activities,,2016-11-30,,(https://www.github.com/lbeckman314/codeVault/blob/master/simpleMenu.sh) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/simpleMenu.sh)
simpleMenu.sh,, This program provides a menu interface for common NIX activities,,simpleStockSimulator.cpp,, This program simulates the buying and selling of stocks!,,2016-10-12,,(https://www.github.com/lbeckman314/codeVault/blob/master/simpleStockSimulator.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/simpleStockSimulator.cpp)
stringPermutation.cpp,,This programs outputs the permutations of three user-inputted strings.,,2016-09-06,,(https://www.github.com/lbeckman314/codeVault/blob/master/stringPermutation.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/stringPermutation.cpp)
stringPermutationPlus.cpp,, This programs outputs the permutations of three user-inputted strings.,,2016-10-01,,(https://www.github.com/lbeckman314/codeVault/blob/master/stringPermutationPlus.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/stringPermutationPlus.cpp)
sublimeText├──,,tenMillonthPrime.cpp,, This program outputs the first 10,000,000 primes...,,2016-11-17,,(https://www.github.com/lbeckman314/codeVault/blob/master/tenMillonthPrime.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/tenMillonthPrime.cpp)
testAverager.cpp,,This programs determines the average of five user-inputed test scores.,,2016-09-06,,(https://www.github.com/lbeckman314/codeVault/blob/master/testAverager.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/testAverager.cpp)
testAveragerPlus.cpp,, This program determines the average of five user-inputed test scores.,,2016-10-01,,(https://www.github.com/lbeckman314/codeVault/blob/master/testAveragerPlus.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/testAveragerPlus.cpp)
tipCalculatorPlus.py,, This program calculates the tax, tip, and total cost of a meal!,,2016-10-26,,(https://www.github.com/lbeckman314/codeVault/blob/master/tipCalculatorPlus.py) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/tipCalculatorPlus.py)
trinomialRootFinder.cpp,, This program returns the roots of a trinomial.,,2016-10-12,,(https://www.github.com/lbeckman314/codeVault/blob/master/trinomialRootFinder.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/trinomialRootFinder.cpp)
vowelsAndConsonantCounter.cpp,, This program determines both the longest word and frequencies of different english words.,,2016-10-27,,(https://www.github.com/lbeckman314/codeVault/blob/master/vowelsAndConsonantCounter.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/vowelsAndConsonantCounter.cpp)
weekdayOfFutureDate.cpp,, This programs transports you into the future (or the past!) up to 5,883,516 years,,2016-10-12,,(https://www.github.com/lbeckman314/codeVault/blob/master/weekdayOfFutureDate.cpp) (https://raw.githubusercontent.com/lbeckman314/codeVault/master/weekdayOfFutureDate.cpp),,
